iter	Passed	Remaining
0	8	8268
1	13	6586
2	17	5818
3	22	5515
4	27	5410
5	31	5255
6	36	5117
7	40	5041
8	45	4983
9	49	4934
10	54	4889
11	58	4856
12	63	4803
13	67	4750
14	72	4742
15	76	4695
16	80	4674
17	85	4642
18	90	4650
19	94	4637
20	98	4613
21	103	4585
22	107	4582
23	112	4562
24	116	4538
25	120	4513
26	124	4497
27	128	4474
28	133	4456
29	138	4470
30	142	4457
31	146	4440
32	150	4422
33	155	4422
34	159	4406
35	164	4392
36	168	4381
37	173	4390
38	177	4375
39	181	4344
40	184	4317
41	188	4308
42	192	4282
43	196	4260
44	199	4237
45	203	4214
46	206	4195
47	210	4175
48	214	4167
49	218	4146
50	221	4128
51	225	4111
52	229	4096
53	232	4078
54	236	4057
55	239	4042
56	243	4026
57	246	4010
58	250	3995
59	254	3983
60	257	3970
61	261	3955
62	265	3944
63	269	3936
64	272	3924
65	276	3910
66	279	3897
67	283	3888
68	287	3879
69	291	3869
70	294	3857
71	298	3847
72	302	3836
73	305	3827
74	309	3815
75	312	3805
76	316	3792
77	320	3783
78	323	3772
79	327	3763
80	330	3751
81	334	3739
82	337	3730
83	341	3721
84	344	3711
85	348	3702
86	352	3697
87	355	3689
88	359	3681
89	363	3672
90	366	3663
91	370	3655
92	373	3646
93	377	3636
94	380	3628
95	384	3621
96	389	3621
97	392	3616
98	396	3610
99	400	3603
100	404	3596
101	407	3589
102	411	3581
103	414	3573
104	418	3566
105	421	3558
106	425	3550
107	428	3541
108	432	3534
109	436	3527
110	439	3520
111	443	3513
112	446	3505
113	450	3499
114	453	3492
115	457	3483
116	460	3478
117	464	3471
118	468	3464
119	471	3457
120	474	3449
121	478	3443
122	482	3438
123	486	3433
124	489	3428
125	493	3421
126	496	3415
127	500	3408
128	503	3402
129	507	3395
130	510	3388
131	514	3383
132	518	3377
133	521	3371
134	525	3364
135	528	3358
136	532	3351
137	535	3345
138	538	3338
139	542	3333
140	546	3330
141	550	3324
142	553	3318
143	557	3312
144	560	3307
145	564	3301
146	567	3295
147	571	3289
148	574	3283
149	578	3277
150	581	3272
151	586	3272
152	590	3266
153	593	3261
154	597	3255
155	600	3250
156	604	3245
157	607	3239
158	611	3232
159	614	3226
160	618	3221
161	621	3216
162	625	3210
163	628	3205
164	632	3199
165	635	3195
166	639	3189
167	642	3183
168	646	3177
169	649	3171
170	653	3166
171	656	3160
172	659	3154
173	663	3149
174	667	3145
175	671	3141
176	674	3137
177	678	3131
178	681	3126
179	685	3121
180	688	3116
181	692	3111
182	695	3106
183	699	3101
184	703	3098
185	707	3094
186	710	3090
187	714	3084
188	717	3080
189	721	3075
190	724	3069
191	728	3064
192	731	3060
193	735	3056
194	739	3050
195	742	3046
196	746	3041
197	749	3037
198	754	3035
199	757	3030
200	761	3025
201	764	3020
202	768	3015
203	771	3010
204	775	3005
205	778	3000
206	781	2995
207	785	2991
208	789	2986
209	792	2981
210	796	2976
211	799	2971
212	803	2968
213	806	2963
214	810	2959
215	813	2954
216	817	2949
217	821	2945
218	824	2941
219	828	2936
220	831	2931
221	835	2927
222	838	2922
223	842	2918
224	845	2913
225	849	2909
226	853	2906
227	856	2901
228	860	2898
229	864	2893
230	868	2890
231	871	2885
232	875	2881
233	878	2876
234	882	2872
235	885	2868
236	889	2863
237	893	2859
238	896	2854
239	900	2850
240	903	2846
241	907	2842
242	911	2838
243	914	2833
244	918	2829
245	921	2824
246	925	2820
247	928	2816
248	932	2811
249	935	2807
250	939	2803
251	943	2799
252	946	2794
253	950	2790
254	953	2785
255	956	2781
256	960	2777
257	964	2772
258	967	2767
259	970	2763
260	974	2758
261	978	2757
262	983	2754
263	986	2750
264	990	2746
265	993	2742
266	997	2737
267	1001	2735
268	1005	2731
269	1008	2727
270	1012	2722
271	1015	2718
272	1019	2714
273	1022	2709
274	1025	2704
275	1029	2700
276	1033	2696
277	1037	2694
278	1040	2689
279	1044	2685
280	1047	2681
281	1051	2677
282	1054	2672
283	1058	2668
284	1061	2664
285	1065	2660
286	1069	2655
287	1072	2651
288	1076	2647
289	1079	2642
290	1083	2638
291	1086	2634
292	1090	2630
293	1093	2625
294	1097	2621
295	1101	2618
296	1104	2614
297	1107	2610
298	1111	2606
299	1115	2601
300	1118	2597
301	1122	2593
302	1125	2589
303	1129	2585
304	1133	2582
305	1137	2580
306	1141	2577
307	1146	2574
308	1150	2573
309	1155	2572
310	1159	2569
311	1164	2567
312	1168	2564
313	1172	2562
314	1178	2561
315	1184	2564
316	1192	2569
317	1196	2566
318	1201	2565
319	1205	2561
320	1209	2557
321	1212	2553
322	1216	2550
323	1220	2546
324	1223	2542
325	1227	2537
326	1231	2533
327	1234	2529
328	1238	2525
329	1242	2522
330	1246	2519
331	1250	2515
332	1253	2510
333	1257	2507
334	1260	2502
335	1264	2498
336	1267	2494
337	1271	2490
338	1274	2485
339	1278	2481
340	1282	2477
341	1285	2473
342	1289	2469
343	1292	2465
344	1296	2460
345	1299	2457
346	1303	2453
347	1307	2449
348	1310	2444
349	1314	2441
350	1318	2437
351	1321	2433
352	1325	2429
353	1328	2424
354	1332	2420
355	1335	2416
356	1339	2412
357	1342	2407
358	1345	2403
359	1349	2399
360	1353	2396
361	1357	2392
362	1361	2388
363	1365	2385
364	1368	2381
365	1372	2377
366	1375	2372
367	1379	2369
368	1383	2365
369	1386	2361
370	1390	2357
371	1393	2353
372	1398	2350
373	1401	2345
374	1405	2341
375	1408	2337
376	1412	2333
377	1415	2329
378	1419	2325
379	1422	2321
380	1426	2316
381	1429	2312
382	1433	2308
383	1436	2305
384	1440	2301
385	1444	2296
386	1448	2294
387	1452	2291
388	1456	2287
389	1459	2283
390	1463	2279
391	1467	2275
392	1471	2272
393	1474	2268
394	1478	2263
395	1481	2260
396	1485	2255
397	1488	2251
398	1492	2247
399	1495	2243
400	1500	2240
401	1503	2236
402	1507	2232
403	1510	2228
404	1514	2225
405	1518	2221
406	1521	2217
407	1525	2213
408	1529	2209
409	1532	2205
410	1536	2201
411	1539	2197
412	1543	2194
413	1547	2190
414	1551	2186
415	1554	2182
416	1558	2179
417	1562	2175
418	1566	2171
419	1569	2167
420	1573	2164
421	1577	2160
422	1581	2156
423	1584	2152
424	1588	2148
425	1591	2144
426	1595	2141
427	1599	2137
428	1603	2134
429	1607	2130
430	1610	2126
431	1614	2122
432	1617	2118
433	1621	2114
434	1624	2110
435	1629	2107
436	1632	2103
437	1636	2099
438	1640	2095
439	1643	2091
440	1647	2088
441	1650	2084
442	1654	2080
443	1657	2076
444	1661	2072
445	1665	2068
446	1668	2064
447	1672	2060
448	1675	2056
449	1679	2052
450	1682	2048
451	1686	2044
452	1689	2040
453	1693	2036
454	1697	2033
455	1701	2029
456	1704	2025
457	1708	2021
458	1712	2018
459	1716	2014
460	1719	2010
461	1723	2006
462	1726	2002
463	1730	1998
464	1733	1995
465	1737	1991
466	1741	1987
467	1745	1984
468	1749	1980
469	1753	1976
470	1756	1973
471	1760	1969
472	1764	1965
473	1768	1961
474	1771	1958
475	1774	1953
476	1778	1950
477	1781	1945
478	1785	1942
479	1789	1938
480	1792	1934
481	1796	1930
482	1800	1926
483	1803	1922
484	1807	1918
485	1810	1915
486	1814	1911
487	1818	1907
488	1821	1903
489	1825	1899
490	1828	1895
491	1832	1891
492	1835	1887
493	1838	1883
494	1842	1879
495	1845	1875
496	1849	1871
497	1852	1867
498	1855	1863
499	1859	1859
500	1863	1855
501	1866	1851
502	1870	1847
503	1873	1843
504	1877	1840
505	1880	1836
506	1884	1832
507	1888	1828
508	1891	1824
509	1895	1821
510	1899	1817
511	1902	1813
512	1906	1809
513	1910	1806
514	1913	1802
515	1917	1798
516	1920	1794
517	1924	1790
518	1927	1786
519	1931	1782
520	1934	1778
521	1938	1774
522	1941	1770
523	1945	1766
524	1948	1762
525	1951	1758
526	1955	1754
527	1958	1751
528	1962	1747
529	1965	1743
530	1969	1739
531	1972	1735
532	1976	1731
533	1979	1727
534	1983	1723
535	1986	1719
536	1990	1716
537	1994	1712
538	1998	1709
539	2002	1705
540	2005	1701
541	2009	1697
542	2012	1693
543	2016	1690
544	2019	1686
545	2023	1682
546	2026	1678
547	2030	1674
548	2033	1670
549	2036	1666
550	2040	1662
551	2043	1658
552	2046	1654
553	2050	1650
554	2053	1646
555	2057	1642
556	2060	1639
557	2064	1635
558	2067	1631
559	2071	1627
560	2074	1623
561	2078	1619
562	2081	1615
563	2085	1612
564	2088	1608
565	2092	1604
566	2096	1601
567	2100	1597
568	2104	1593
569	2107	1589
570	2111	1586
571	2115	1583
572	2120	1579
573	2124	1576
574	2128	1573
575	2133	1570
576	2137	1566
577	2141	1563
578	2145	1560
579	2149	1556
580	2153	1553
581	2158	1550
582	2162	1546
583	2166	1543
584	2170	1540
585	2174	1536
586	2178	1532
587	2182	1529
588	2186	1525
589	2190	1521
590	2193	1518
591	2197	1514
592	2201	1510
593	2205	1507
594	2209	1504
595	2213	1500
596	2217	1496
597	2222	1493
598	2226	1490
599	2230	1487
600	2235	1483
601	2239	1480
602	2244	1478
603	2248	1474
604	2253	1471
605	2257	1467
606	2262	1464
607	2265	1460
608	2269	1457
609	2273	1453
610	2277	1450
611	2281	1446
612	2284	1442
613	2288	1438
614	2292	1435
615	2296	1431
616	2300	1427
617	2303	1424
618	2308	1421
619	2313	1417
620	2317	1414
621	2321	1411
622	2326	1407
623	2330	1404
624	2334	1400
625	2340	1398
626	2345	1395
627	2350	1392
628	2355	1389
629	2359	1385
630	2363	1381
631	2367	1378
632	2371	1374
633	2375	1371
634	2380	1368
635	2384	1364
636	2389	1361
637	2393	1357
638	2397	1354
639	2401	1350
640	2405	1347
641	2409	1343
642	2413	1340
643	2418	1336
644	2422	1333
645	2426	1329
646	2430	1326
647	2434	1322
648	2439	1319
649	2443	1315
650	2449	1313
651	2455	1310
652	2460	1307
653	2466	1304
654	2470	1301
655	2474	1297
656	2479	1294
657	2484	1291
658	2488	1287
659	2493	1284
660	2498	1281
661	2503	1278
662	2509	1275
663	2513	1272
664	2518	1268
665	2523	1265
666	2528	1262
667	2534	1259
668	2539	1256
669	2544	1253
670	2549	1249
671	2554	1246
672	2558	1243
673	2562	1239
674	2568	1236
675	2573	1233
676	2577	1229
677	2581	1226
678	2586	1222
679	2591	1219
680	2598	1217
681	2604	1214
682	2610	1211
683	2615	1208
684	2621	1205
685	2626	1202
686	2631	1198
687	2635	1195
688	2640	1191
689	2645	1188
690	2651	1185
691	2658	1183
692	2664	1180
693	2669	1177
694	2675	1174
695	2681	1171
696	2688	1168
697	2697	1166
698	2702	1163
699	2708	1160
700	2715	1158
701	2721	1155
702	2728	1152
703	2735	1149
704	2741	1147
705	2748	1144
706	2756	1142
707	2764	1140
708	2772	1138
709	2780	1135
710	2788	1133
711	2796	1131
712	2803	1128
713	2809	1125
714	2815	1122
715	2822	1119
716	2829	1116
717	2835	1113
718	2841	1110
719	2847	1107
720	2854	1104
721	2861	1101
722	2867	1098
723	2873	1095
724	2880	1092
725	2888	1090
726	2895	1087
727	2902	1084
728	2909	1081
729	2916	1078
730	2924	1076
731	2930	1072
732	2936	1069
733	2943	1066
734	2951	1064
735	2958	1061
736	2967	1058
737	2977	1057
738	2996	1058
739	3006	1056
740	3015	1053
741	3023	1051
742	3031	1048
743	3039	1045
744	3047	1043
745	3056	1040
746	3074	1041
747	3093	1042
748	3103	1039
749	3112	1037
750	3120	1034
751	3132	1032
752	3139	1029
753	3146	1026
754	3155	1024
755	3162	1020
756	3169	1017
757	3176	1014
758	3184	1011
759	3191	1007
760	3201	1005
761	3210	1002
762	3219	999
763	3227	996
764	3234	993
765	3242	990
766	3250	987
767	3260	985
768	3268	981
769	3275	978
770	3283	975
771	3290	971
772	3296	968
773	3303	964
774	3309	960
775	3316	957
776	3324	954
777	3332	950
778	3340	947
779	3349	944
780	3358	941
781	3364	937
782	3371	934
783	3378	930
784	3387	927
785	3393	924
786	3400	920
787	3407	916
788	3413	912
789	3418	908
790	3425	905
791	3430	901
792	3436	897
793	3442	893
794	3447	888
795	3454	885
796	3462	881
797	3469	878
798	3476	874
799	3483	870
800	3491	867
801	3498	863
802	3507	860
803	3516	857
804	3523	853
805	3530	849
806	3536	845
807	3542	841
808	3548	837
809	3555	834
810	3561	830
811	3566	825
812	3573	821
813	3578	817
814	3584	813
815	3589	809
816	3594	805
817	3600	800
818	3604	796
819	3610	792
820	3615	788
821	3620	783
822	3625	779
823	3629	775
824	3635	771
825	3640	766
826	3645	762
827	3650	758
828	3655	753
829	3659	749
830	3663	745
831	3667	740
832	3671	735
833	3674	731
834	3678	726
835	3681	722
836	3685	717
837	3689	713
838	3692	708
839	3696	704
840	3700	699
841	3703	695
842	3707	690
843	3711	685
844	3714	681
845	3718	676
846	3721	672
847	3725	667
848	3729	663
849	3732	658
850	3736	654
851	3740	649
852	3743	645
853	3747	640
854	3751	636
855	3754	631
856	3758	627
857	3761	622
858	3765	618
859	3769	613
860	3772	609
861	3776	604
862	3779	600
863	3783	595
864	3787	591
865	3790	586
866	3794	582
867	3797	577
868	3802	573
869	3806	568
870	3810	564
871	3813	559
872	3817	555
873	3820	550
874	3824	546
875	3827	541
876	3831	537
877	3836	533
878	3842	528
879	3846	524
880	3851	520
881	3856	515
882	3863	511
883	3869	507
884	3873	503
885	3878	499
886	3883	494
887	3887	490
888	3890	485
889	3894	481
890	3897	476
891	3901	472
892	3905	467
893	3908	463
894	3912	459
895	3916	454
896	3919	450
897	3923	445
898	3927	441
899	3931	436
900	3934	432
901	3937	427
902	3941	423
903	3945	418
904	3948	414
905	3952	410
906	3955	405
907	3959	401
908	3963	396
909	3966	392
910	3970	387
911	3973	383
912	3977	378
913	3980	374
914	3984	370
915	3988	365
916	3991	361
917	3995	356
918	3999	352
919	4002	348
920	4006	343
921	4010	339
922	4013	334
923	4017	330
924	4020	326
925	4024	321
926	4027	317
927	4031	312
928	4035	308
929	4038	303
930	4042	299
931	4045	295
932	4049	290
933	4052	286
934	4056	281
935	4059	277
936	4063	273
937	4067	268
938	4070	264
939	4074	260
940	4078	255
941	4081	251
942	4085	246
943	4089	242
944	4092	238
945	4096	233
946	4100	229
947	4104	225
948	4107	220
949	4111	216
950	4114	212
951	4118	207
952	4122	203
953	4126	198
954	4129	194
955	4133	190
956	4136	185
957	4140	181
958	4143	177
959	4147	172
960	4150	168
961	4154	164
962	4157	159
963	4161	155
964	4164	151
965	4168	146
966	4171	142
967	4175	138
968	4178	133
969	4182	129
970	4186	125
971	4189	120
972	4193	116
973	4196	112
974	4200	107
975	4203	103
976	4207	99
977	4211	94
978	4214	90
979	4218	86
980	4221	81
981	4225	77
982	4229	73
983	4232	68
984	4236	64
985	4239	60
986	4243	55
987	4246	51
988	4250	47
989	4253	42
990	4257	38
991	4260	34
992	4264	30
993	4267	25
994	4271	21
995	4274	17
996	4278	12
997	4281	8
998	4285	4
999	4288	0
